,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,SalesPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollar,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
72,3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,9.99,5.44,9.99,750,94779,515597.76,91600.0,812899.38,10283.26,297301.62,36.57299135841387,0.9664588147163401,1.576615422068552,5.44,Large,17293.760000000002
73,3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,29.99,22.83,29.99,750,22352,510296.16,20847.0,632474.53,16416.8,122178.37000000005,19.317516232629963,0.9326682176091625,1.2394263950565492,22.83,Large,34359.149999999994
74,12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,39.99,31.99,39.99,1750,15805,505601.95,15381.0,565522.1900000001,28264.51,59920.24000000005,10.595559477515822,0.9731730465042708,1.1185126758312542,31.990000000000002,Large,13563.76
75,7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,25.99,18.56,25.99,1750,26795,497315.2,25596.0,684036.0399999999,47031.43,186720.8399999999,27.29693014420701,0.9552528456801642,1.3754577378692625,18.56,Large,22253.44
76,3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,12.99,8.52,12.99,1750,58309,496792.68,57845.0,724360.55,106278.68,227567.87000000005,31.416380972155377,0.9920423948275566,1.458074120576817,8.52,Large,3953.2799999999997
77,17035,PERNOD RICARD USA,3728,Absolut Citron,24.99,18.93,24.99,1750,25959,491403.87,26222.0,658689.78,48180.15,167285.91000000003,25.39676720048701,1.0101313609923341,1.3404244862784658,18.93,Large,-4978.59
78,3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,10.49,8.26,10.49,1750,57575,475569.5,57067.0,648535.33,104847.72,172965.82999999996,26.670224735482023,0.9911767260095528,1.3637025292833118,8.26,Large,4196.08
79,3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,34.99,25.92,34.99,1750,18298,474284.16000000003,18082.0,621256.18,33226.63,146972.02000000002,23.657232673323268,0.9881954311946661,1.3098817805764376,25.92,Large,5598.72
80,480,BACARDI USA INC,4245,Bacardi Superior Rum,11.99,7.93,9.99,750,58816,466410.88,58320.0,643474.8,45919.42,177063.92000000004,27.516838266238246,0.9915669205658324,1.379630766760844,7.93,Large,3933.2799999999997
81,9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,9.97,6.83,10.99,1500,68084,465013.72,67195.0,695816.41,15097.470000000001,230802.69000000006,33.1700555898071,0.9869426003172551,1.496335226410094,6.829999999999999,Large,6071.87
82,3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,24.99,17.51,24.99,1750,25998,455224.98,23008.0,575754.9199999999,42276.159999999996,120529.93999999994,20.934244035639324,0.8849911531656282,1.2647700484274829,17.509999999999998,Large,52354.9
83,10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,15.99,10.88,15.99,750,41274,449061.12,39387.0,658288.13,4415.6,209227.01,31.783500334420435,0.9542811455153365,1.4659210087036705,10.879999999999999,Large,20530.56
84,17035,PERNOD RICARD USA,5735,Malibu Rum,11.99,9.29,12.99,750,48121,447044.09,46557.0,598769.43,36656.77,151725.34000000003,25.33952676909374,0.9674985972860082,1.3393968143052737,9.290000000000001,Large,14529.56
85,8112,MOET HENNESSY USA INC,5342,Grand Marnier,28.99,19.85,26.99,750,22234,441344.89999999997,22623.0,687309.77,17815.45,245964.87000000005,35.786610453682336,1.0174957272645497,1.5573076068172536,19.849999999999998,Large,-7721.650000000001
86,2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,31.99,23.7,34.99,1750,18409,436293.3,18376.0,667168.24,33767.5,230874.94,34.60520542764446,0.9982073985550546,1.5291737003524923,23.7,Large,782.1
87,1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,13.99,9.2,15.99,1500,47153,433807.6,46069.0,701955.59,10347.03,268147.99,38.20013599435828,0.977011006722796,1.6181265381242744,9.2,Large,9972.8
88,8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,42.99,34.12,42.99,1750,12713,433767.56,12218.0,536414.8200000001,22452.64,102647.26000000007,19.135798671632536,0.9610634783292693,1.236641163299533,34.12,Large,16889.399999999998
89,2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,62.99,42.21,62.99,750,10227,431681.67,9713.0,572039.87,7651.83,140358.2,24.5364365948828,0.949740881979075,1.325142830363865,42.21,Large,21695.94
90,3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,17.99,13.33,17.99,750,32375,431558.75,31816.0,606781.84,25052.7,175223.08999999997,28.877444651276967,0.9827335907335907,1.4060237221467529,13.33,Large,7451.47
91,3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,14.99,9.62,14.99,1750,44631,429350.22,44434.0,643753.66,81641.20999999999,214403.44000000006,33.305199383254774,0.9955860276489436,1.4993672531482576,9.62,Large,1895.1399999999999
92,3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,19.99,14.7,19.99,1000,29200,429240.0,29238.0,584467.62,30699.9,155227.62,26.558805772679072,1.0013013698630138,1.3616336315348057,14.7,Large,-558.6
93,3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,17.99,13.23,17.99,1750,32253,426707.19,32430.0,583415.7,59584.78,156708.50999999995,26.860523294110866,1.0054878615942704,1.367250690104378,13.23,Large,-2341.71
94,3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,189.99,139.7,219.99,750,2963,413931.10000000003,2761.0,548648.39,2176.61,134717.28999999998,24.554394482047048,0.9318258521768478,1.3254582465535931,139.70000000000002,Large,28219.399999999998
95,17035,PERNOD RICARD USA,482,Absolut 80 Proof,21.99,14.28,19.99,1000,28888,412520.64,27866.0,599601.34,29259.3,187080.69999999995,31.200847549807005,0.9646219883688729,1.4535062778919376,14.280000000000001,Large,14594.16
96,3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,49.99,37.29,49.99,1750,10966,408922.14,10796.0,525233.04,19841.33,116310.90000000002,22.144627459079878,0.9844975378442459,1.2844328751678744,37.29,Large,6339.3
97,1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,29.99,21.89,34.99,750,18645,408139.05,18408.0,589481.92,14496.36,181342.87000000005,30.76309278493224,0.987288817377313,1.4443163916807276,21.89,Large,5187.93
98,3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,22.99,16.53,21.99,750,24558,405943.74,24284.0,570271.16,19122.7,164327.42000000004,28.815663762480998,0.9888427396367783,1.4048034340916307,16.53,Large,4529.22
99,1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,8.99,5.84,8.99,1500,69263,404495.92,68667.0,686725.33,15427.26,282229.41,41.09785931443653,0.9913951171621211,1.6977311662377212,5.84,Large,3480.64
100,660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,9.99,7.68,9.99,1750,52351,402055.68,51954.0,527560.96,95452.87,125505.27999999997,23.789720907324146,0.9924165727493267,1.3121589527102315,7.68,Large,3048.96
101,3252,E & J GALLO WINERY,14622,La Marca Prosecco,12.99,8.66,13.99,750,46387,401711.42,45608.0,558344.6900000001,5114.6,156633.27000000008,28.053149390567334,0.983206501821631,1.3899149045849881,8.66,Large,6746.14
102,8004,SAZERAC CO INC,3246,Bentley's Vodka,8.79,6.71,8.79,1750,59841,401533.11,59245.0,520763.55,108849.58,119230.44,22.895312085494464,0.9900402733911532,1.2969380034438505,6.71,Large,3999.16
103,17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,42.99,30.21,41.99,750,13250,400282.5,12463.0,544906.37,9818.56,144623.87,26.54104961188103,0.9406037735849057,1.361304503694266,30.21,Large,23775.27
